E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
18.195490,0.69300100,0.68688700,0.69668100,0.67780400,0.67561900,0.67720500,0.67756200,0.67777100
18.233080,0.69519000,0.68498200,0.67360700,0.67959600,0.66825700,0.66790800,0.66795700,0.66799700
18.270680,0.69868900,0.67566500,0.64934400,0.68433100,0.67188400,0.66945000,0.66909000,0.66887500
18.308270,0.70449000,0.67001100,0.63781000,0.68477700,0.68192800,0.67959200,0.67914700,0.67888400
18.345860,0.70728000,0.67428000,0.64228200,0.67749300,0.68714100,0.68748100,0.68748200,0.68758200
18.383460,0.70307600,0.68386100,0.66043500,0.66815700,0.68288100,0.68526700,0.68568500,0.68611900
18.421050,0.69557400,0.69172300,0.68078400,0.66291100,0.67804100,0.68064800,0.68109300,0.68150500
18.458640,0.68463100,0.69585900,0.68762400,0.66302100,0.67398400,0.67705900,0.67758800,0.67801000
18.496240,0.67312500,0.69338000,0.67745400,0.66384800,0.66645300,0.66899800,0.66951300,0.66989800
18.533830,0.66400700,0.68824700,0.66967000,0.65873700,0.65823200,0.65918900,0.65942100,0.65956400
18.571430,0.65193400,0.68669700,0.67789900,0.65125300,0.64892200,0.64904100,0.64911100,0.64913000
18.609020,0.63405800,0.68892200,0.69229200,0.65031300,0.63944800,0.63819800,0.63806600,0.63797300
18.646610,0.62068700,0.69264400,0.70080600,0.66092700,0.63934600,0.63536000,0.63473700,0.63430800
18.684210,0.62050900,0.69956100,0.70391400,0.68284200,0.65760900,0.65122400,0.65008700,0.64927000
18.721800,0.62965800,0.70605700,0.70549700,0.70748700,0.68849900,0.68177700,0.68047000,0.67950200
18.759400,0.64135300,0.70966000,0.70732900,0.72599800,0.71930700,0.71466500,0.71362100,0.71281700
18.796990,0.65129100,0.71259800,0.71082300,0.73506300,0.73943300,0.73873800,0.73837600,0.73805600
18.834590,0.66144400,0.71425800,0.71307300,0.73250000,0.74289000,0.74536100,0.74573700,0.74598300
18.872180,0.67387700,0.70965100,0.71184000,0.71835800,0.73062100,0.73413700,0.73482300,0.73532700
